	Class A B C D E F G H I J K L M N O P Q R S T U V X Y W Z AA BB
24	0 17.7 18.47 97.61 80 -75.76 -68.66 -56.27 96.88 15.91 -43.89 58.86 -20.02 -1.514 154.5 45.15 -48.78 62.37 -25.01 306.88 286.79 -213.89 -17.93 -125.61 135.93 161.83 8.13 -197.37 34.6
25	0 18.24 18.74 7.794 50 -50 -32.93 -49.22 -57.13 51.49 0.1367 60.39 -35.44 11.26 172.7 11.88 -20.94 117.1 -72.1 -56.6 -97.11 12.55 -15.69 -47.55 207.22 -48.42 -201.02 414.65 -130.84
26	0 -6.313 -3.157 -13.8 110 -69.44 -17.44 -32.89 88.64 -16.72 -83.8 187.9 28.13 123.5 169.8 13.11 -116.3 123.3 -59.96 -125.59 159.76 307.21 233.21 -340.39 -177.55 242.69 -214.85 543.59 -151.33
27	0 25.88 19.35 -32.36 60 -48.39 -60.37 -66.35 34.33 12.44 -7.22 90.24 -46.97 35.44 117.5 15.69 14.95 57.38 -61.5 198.38 -240.83 395.45 68.06 -147.89 295.19 186.88 140.99 -42.7 36.03
28	0 -6.313 -6.362 25.14 230 -10.42 13.68 -19.51 20.08 91.6 -115.4 76.95 242.8 -12.51 -104.1 136.3 -78.73 -8.495 119.1 140.23 252.13 -241.04 262.33 274.83 0.24 -122.02 295.59 338.15 -97.51
29	0 -94.47 -94.11 42.2 230 0 -45.15 -20.41 -103.5 132.5 -71.19 31.99 131 -66.01 -70.6 54.51 -23.5 -64.36 128.7 139.95 -228.63 -303.12 3.39 -214.45 185.37 269.08 349.84 -93.59 -127.21
30	0 -25 -12.5 -124.8 150 0 79.89 10.21 18.02 76.6 -216.8 175.5 115.4 3.797 45.47 -29.29 -143.4 188.9 5.611 156.76 69.1 -51.52 13.67 150.28 303 -137.22 -53.69 381.43 15.15
31	0 22.37 11.18 14.33 60 -129 -42.15 -64.5 121.3 -58.29 16.91 24.89 -33.7 5.77 107.6 47.4 41.37 -10.03 -33.87 -25.16 64.73 114.75 -325.25 -361.11 -33.62 99.21 382.98 600.5 -118.95
32	0 -8.553 -13.65 -24.55 150 50 22.81 -16.47 -35.81 138.4 -154.3 79.16 224.8 16.62 -75.02 30.21 -90.64 138.4 123.3 216.94 -221.98 -246.88 -106.69 280.36 69.77 121.35 93.55 106.21 -81.53
33	0 25.66 12.83 31.48 50 -100 -59.86 -64.5 19.55 -73.91 -14.33 54.77 -47.15 40.3 99.13 -68.3 -37.84 98.41 -9.743 -169.39 -157.08 -254.32 -98.29 151.15 52.11 204.09 -117.13 -227.14 -96.7
34	0 -5.263 -2.632 -35.66 130 0 -20.5 -32.48 12.67 74.47 -92.23 65.74 129.5 -79.09 82.19 42.77 -70.43 123.7 15.12 -196.14 55.73 16.61 323.46 -138.47 -259.29 -118.69 292.74 393.46 -140.97
35	0 -14.25 0.2304 -153.8 140 -76.92 106.8 12.87 109.4 -73.6 -207 209.5 104.3 47.83 -39.91 27.11 -141.9 143.5 34.84 182.11 300.76 169.9 -278.28 269.57 255.32 -185.38 283.36 -18.51 -229.37
36	0 42.74 28.72 -61.35 30 -71.43 -131.6 -71.11 11.23 -22.67 -31.8 29.88 -73.72 -12.42 90.22 14.09 -29.37 100.5 -108.9 -165.64 -148.98 -52.38 41.78 174.86 -243.33 172.68 136.47 34.95 -170.02
37	0 17.09 12.22 -25.99 210 21.74 105.9 0.2738 -0.1445 74.38 -198.1 NA 269.6 51.85 -55.09 74.43 -142.8 86.46 172 197.97 136.72 -89.3 -37.65 -205.7 -158.02 261.77 115.58 416.19 -230.68
38	0 14.96 14.83 -1.444 150 -37.5 59.09 -8.124 121.4 -31.06 -170 137.9 160.1 41.4 -68.11 -7.201 -107.3 142.7 135 17.6 -62.3 389.26 -278.69 -172.34 85.96 -252.67 -333.72 418.96 -130.16
39	0 51.99 33.35 98.53 30 -71.43 -88.43 -66.91 39.27 -52.63 -24.97 37.28 -12.42 38.99 129.3 -27.31 -96.39 -28.42 -92.19 -163.82 -41.17 318.27 118.85 88.86 90.23 -278.01 -325.74 113.41 131.61
40	0 0 0 -115.2 180 46.51 165.2 33.87 -12.34 53.41 -235.1 32.35 290 99.24 148.8 31.25 -125.3 151.3 126.3 -96.95 -222.77 -138.36 240.24 -199.46 197.06 -141.52 -230.55 -4.57 90.82
41	0 NA 23.72 46.95 60 -80.65 -65.02 -64.22 9.537 -72.13 -33.67 57.87 -23.24 63.19 117.1 -97.12 -112.3 30.49 -78.97 -262.49 -95.52 119.75 -278.54 312.83 259.23 227.62 370.72 -18.5 -75.56
42	0 2.454 1.227 73.02 210 -21.74 -20.96 -31.52 25.56 57.5 -121.3 20.96 214.3 3.722 -62.35 69.68 -141.7 55.69 167 77.07 -327.22 85.52 -94.01 89.79 107.01 -310.98 -96.52 298.43 127.33
43	0 10.17 5.084 16.25 120 -13.51 -15.56 -20.62 67.39 -52.07 -124.7 90.35 136.4 -24.98 20.73 -78.68 -68.9 189.2 93.39 -213.44 26.07 -104.53 311.51 -105.73 -134.38 -21.5 40.08 61.12 78.56
44	0 7.363 6.971 27.77 120 -27.03 -13.76 -36.97 51.59 -12.71 -53.95 60.08 117 -48.57 42.89 -47.67 -15.02 175.4 113 107.21 274.51 -262.96 -88.99 57.91 114.22 127.63 366.91 295.01 -162.75
45	0 -2.454 5.352 -24.29 180 -34.88 57.28 -20.62 93.41 7.347 -142.3 150.9 237.1 56.01 -64.56 -22.52 -82.87 176.6 125.1 -71.89 -152.43 -133.21 -26.94 202.42 34.46 -289.87 -297.65 579.01 59.2
46	0 35.41 34.15 77.74 40 -86.21 -35.34 -69.68 125.8 -119.2 -42.47 89.61 -18.7 36.53 135.9 -73.65 -42.96 114.9 -34.25 224.44 -132.68 -162.19 -66.68 319.16 318.37 33.22 -232.77 338.75 -10.76
47	0 78.77 66.41 33.08 100 -14.29 12.79 -56.41 36.86 13.62 -121.9 85 190.6 37.14 73.94 -47.99 -106.5 208.3 58.34 -160.25 -316.83 361.62 32.33 -246.99 -183.83 180.48 -245.85 441.56 -115.66
48	0 33.11 26.69 -16.26 40 -51.72 -66.68 -56.41 -34.73 -0.9512 -17.16 34.56 -51.16 55.23 55.91 -49.77 -49.21 38.72 -92.94 147.27 284.95 138.13 178.43 307.69 214 -91.88 -3.81 445.54 -180.71
49	0 20.93 13.84 -21.24 160 -12.2 -40.51 -43.73 28.05 4.716 -131 -25.22 188.2 -50.89 -54.88 19.71 -82.74 38.72 69.08 49.01 208.61 324.96 243.91 -61.88 29.38 -155.25 -197.03 616.4 211.44
50	0 34.63 17.31 24.6 70 -46.88 -64.75 -56.41 111.1 35.48 -29 90.6 -1.228 44.38 43.02 -105 -77.62 -36.46 -49.97 163.34 71.46 10.6 279.44 141.37 -124.19 -8.17 45.43 167.19 66.12
51	0 -1.903 -0.9513 -78.06 170 -11.9 15.7 6.972 -0.7152 96.2 -199.7 142.9 164.4 37.14 30.14 154.2 -178.2 175.7 121.9 93.12 10.45 -195.41 -79.15 315.89 -227.26 11.7 12.25 572.76 74.12
52	0 -1.142 2.808 -57.54 160 -48.78 14.73 -12.04 99.49 6.335 -113.2 156 129.5 10.61 88.11 -24.83 -155.8 46.23 32.38 235.54 22.98 284.42 359.03 -131.38 -102.21 181.97 -81.29 459.12 41.1
53	0 -41.93 -37.63 -50.59 120 0 16.97 32.11 0.03794 106.4 -48.15 46.5 206.4 -60.98 4.551 107.2 -0.9962 150.2 46.68 -80.04 -365.77 -146.32 136.47 -208.83 209.88 -262.75 -250.47 204.71 25.63
54	0 8.54 8.437 -2.842 200 -11.11 -54.67 -62.57 -21.69 139.5 -43.68 120.3 16.47 68.98 -66.75 84.04 -23.37 129.4 159.6 -197.62 -238.29 -260.4 56.36 239.82 94.74 -7.95 241.65 602.24 -195.56
55	0 -20.96 -10.48 8.584 180 -34.88 20.18 -51.43 3.767 32.17 53.23 51.26 9.82 12.97 -50.61 31.99 6.288 5.566 147.3 110.5 190.6 194.51 299.48 43.68 -40 242.61 50.74 90.42 -123.41
56	0 17.08 16.87 28.08 130 0 -53.6 -40.29 -46.82 32.17 -73.5 36.18 95.29 -66.58 77.2 50.18 -106.6 35.29 53.38 140.04 -164.08 -10.73 -52.87 200.98 296.03 127.77 332.85 -18.59 -245.71
57	0 20.19 22.59 31.91 120 -40.54 -76.06 -40.29 122.9 -38.02 -148.5 70.32 101 25.29 114.9 71.5 -155 93.76 -0.2615 68.23 78.4 -31.03 -211.43 201.8 191.33 -92.74 -304.96 -214.06 -71.89
58	0 14.75 24.04 55.48 160 -48.78 -87.82 -51.43 205 13.61 -107.8 81.43 63 6.245 47.6 126.1 -93.08 59.08 -12.55 -196.94 -257.58 355.95 -130.3 93.33 -130.9 274.11 348.68 540.13 -166.03
59	0 26.06 18.03 -62.13 150 12.5 46.04 -25.05 50.63 0.8394 -193.8 35.58 281.9 -32.84 28.1 18.28 -128.3 152.6 149.4 -207.36 199.31 42.98 39.54 234.24 75.15 -286.39 89.68 383.01 173.88
60	0 -3.521 -3.427 26.1 110 -13.89 -7.34 -38.36 18.69 -0.8759 -78 27.99 198.1 23.22 1.686 -17.46 -96.09 18.42 88.57 -160.21 94.8 -43.41 351.4 -18.33 320.83 4.1 -240.34 -221.74 224.1
61	0 33.1 24.88 71.77 40 17.24 -84.45 -58.31 -3.804 32.57 -75.19 38.62 -23.11 -55.5 99.79 -24.47 16 185.2 -115.8 193.68 96.92 44.86 149.34 172.77 41.76 -327.97 -260.84 12.36 -241.81
62	0 11.27 10.63 61.75 30 -71.43 -31.06 -58.31 39.17 -37.76 13.45 53.8 -129.4 27.99 155.1 -9.052 21.81 117.2 -129.7 148.53 -110.47 194.61 67.04 102.15 250.69 62.18 377.21 538.32 62.09
63	0 2.817 6.408 -36.13 140 -25.64 15.4 -25.05 128.9 12.85 -94.41 154 93.53 -38.8 67.09 126.2 -90.27 104.1 -40.13 -10.43 130.25 303.73 -11.6 -338.9 -84.5 -76.33 -94.19 -194.34 183.27
64	0 5.178 -0.6164 -40.08 150 -12.5 -8.109 -28.79 -2.656 24.49 -171.4 -0.3002 234.7 -4.907 -32.79 34.53 -165.4 49.37 125 -305.44 27.4 -55.68 -281.34 -259.85 319.24 83.55 275.32 -103.41 -164.53
65	0 -18.49 -25.27 28.63 150 -12.5 -43.59 -12.75 -19.88 80.07 -124.9 58.4 99.89 -72.65 132.9 91.6 -116.2 60.29 61.7 -81.33 9.31 5.44 -0.64 -354.36 -67.51 -35.92 -169.94 41.77 47.03
66	0 14.05 13.44 69.95 170 -59.52 -72.17 -66.19 110 28.25 -39.96 45.19 42.84 -14.43 24.08 48.04 -48.01 -34.39 28.67 -337.4 117.31 6.22 360.18 -65.15 167.59 159.88 -325.94 -184.33 153.11
67	0 -24.41 -25.02 38.77 150 25 18.5 -12.75 -56.63 64.29 -129.6 -51.66 270.3 -67.35 0.5901 103.6 -122.3 111.3 167.7 -77.22 -63.24 -280.84 20.7 -165.82 90.91 -250.66 -171.26 607.15 -223.22
68	0 18.05 11.8 54.73 160 -12.2 -8.051 -36.71 55.47 39.37 -121.5 33.08 248.4 -38.52 6.33 25.49 -107.1 85.99 232.1 -136.85 26.58 129.13 -321.94 321.12 5.37 13.63 -321.32 513.75 51.72
69	0 -9.486 -4.743 58.76 160 -12.2 -29.05 -36.71 6.858 56.93 -83.68 17.35 203 -89.34 -31.03 62.17 -105.4 90.54 160.5 184.8 -330.68 263.76 82.39 -136.84 -230.1 -330.04 32.73 -114.46 -207.83
70	0 44.37 44.41 -10.66 100 -14.29 1.138 -45.79 96.57 -10.36 -139.8 107.5 103.5 -73.57 56.14 17.56 -116.7 124.7 55.91 102.2 -207.95 196.11 -113.97 -173.17 -52.7 227.74 120.78 516.07 224.84
71	0 16.83 5.637 61.92 30 -17.86 -59.24 -54.87 -33.71 10.12 -6.468 -50.78 22.8 -5.219 120 10.62 27.28 -34.61 -87.24 214.06 113.42 234.94 -52.48 115.39 224.3 81.78 -127.01 445.66 -143.58
72	0 5.202 16.49 100.7 70 -46.88 -78.93 -63.94 91.39 -19.13 -36.17 -8.851 -63.44 -66.56 172.9 -10.2 -62.87 -30.06 -122.5 149.15 81.59 109.66 -16.14 -365.3 325.62 -79.99 -126.08 -62.57 138.36
73	0 -5.202 -2.601 26.34 100 14.29 -44.8 -36.71 -156.1 134.9 -63.17 125.3 33.86 -52.54 116.8 -36.97 -163.8 100.8 44.9 207.23 -268.13 -260.48 -334.93 -71.45 250.42 -293.55 219.13 565.79 81.37
74	0 7.5 0.3716 -24.54 100 -14.29 -45.2 -31.55 35.71 43.76 -103.5 184.8 -37.79 28.85 94.01 44.61 -57.41 165.7 -21.69 150.68 240.91 -183.51 225.95 -119.39 156.78 -246.8 -97.85 108.28 -193.47
75	0 -4.167 -2.083 -4.517 230 -20.83 7.75 -19.14 -1.841 58.05 -156.9 11.55 237.3 -0.6863 63.42 16.33 -147.9 9.918 209 301.41 -111.48 -214.98 -97.48 31.87 219.72 -90.92 149.84 224.37 -226.13
76	0 0 3.378 50.29 150 12.5 -26.66 -19.14 -49.16 86.62 -122.6 74.76 102.1 -41.42 70.76 49.2 -115.1 131.4 136.6 258.49 154.38 -289.6 -253.39 282.72 327.93 -197.31 -169.17 382.93 -123.68
77	0 39.17 26.34 72.53 10 -96.15 -73.43 -62.55 113.2 16.69 -19.23 -6.514 -35.43 48.2 97.68 71.36 29.19 14.34 -83.11 -169.82 53.23 -91.22 -328.75 -206.36 82.08 -205.95 -281.79 -238.85 -17.24
78	0 0 3.378 -52.23 180 -11.63 36.87 -25.34 -26.42 98.65 -102.7 140.4 241.2 19.68 -33.25 17.1 -69.43 117.1 220.9 -13.21 303.16 203.62 200.15 -200 -223.5 224.03 -169.8 311.62 -2.85
79	0 8.333 4.167 9.76 70 -62.5 -23.14 -50.15 118.4 -1.357 -11.61 86.25 21.94 40.05 90.34 273.9 -149.8 238.6 -55.55 70.14 3.83 -245.59 -245.89 -7.92 72.45 -162.22 -329.41 612.57 17.29
80	0 0 17.86 -23.78 70 -15.63 -79.61 -61.9 -86.83 43.46 -28.29 27.04 5.295 22.2 54.98 -18.41 -32.98 3.619 32.36 96.47 71.01 273.74 162.29 -267.98 24.57 63.65 235.3 306.57 -39.42
81	0 2.865 19.29 -32.07 140 25.64 31.33 -19.05 25.96 33.06 -120.9 94.94 213.9 38.26 -136.6 -56.95 -67.35 147.3 180.9 -329.91 -184.32 334.89 245.92 40.74 305.98 -173.42 -235.42 -52.23 -29.19
82	0 22.21 43.25 15.39 40 -17.24 -97.95 -68.02 -21.36 -6.132 -69.23 35.78 13.14 69.3 87.73 -92.59 -47.9 16.39 -31.87 -259.52 -64.66 177.97 120.8 -164.33 216.43 277.39 -316.96 -183.12 86.15
83	0 10.03 19.3 -54.51 170 0 -7.105 -12.92 34.62 59.46 -140.8 150.7 121.3 61.81 35.13 -1.07 -137.9 170.7 17.31 -5.45 136.72 397.86 179.62 -1.28 263.03 74.26 -154.1 -3.42 -39.98
84	0 0.641 3.297 11.18 120 40.54 -18.37 -44.42 -75.93 68.56 -111.4 20.83 196.7 8.186 -49.82 -109.1 -57.67 56.22 88.81 269.92 -100.58 -114.22 48.4 154.38 -216.23 236.02 199.93 545.9 -109.88
85	0 28.21 20.05 89.64 50 -50 -72.76 -73.2 29.61 37 -2.944 50.7 -15.94 9.425 47.91 -12.95 -29.59 88.79 -42.57 -50.38 166.05 361.54 271.2 -270.21 215.6 101.39 260.12 494.06 81.29
86	0 -14.1 -4.075 -35.2 150 25 61.12 -8.446 -24.05 146.2 -119.8 153.4 182.4 -35.17 -60.79 144.2 -110.9 153.1 52.02 27.58 193.25 -154.3 -339.05 -214.15 87.72 76.95 358.06 431.25 -85.16
87	0 1.526e-05 -5.952 -24.38 140 25.64 -46.61 -15.64 -73.63 166.7 -105 64.54 55.38 -99.58 117.7 162.2 -166.1 55.39 -2.499 -150.44 -305.45 -219.75 94.23 60.8 192.62 69.66 262.49 4.05 -138.29
88	0 4.487 17.12 62.49 110 27.78 14.05 -37.23 -49.02 105.2 -137.5 178.2 91.03 49.06 67.85 86.76 -163.6 174.8 78.96 -5.31 174.11 -193.23 -49.38 -183.94 105.91 276.95 -19.73 35.77 209.84
89	0 21.15 22.48 -36.71 80 -75.76 -41.38 -51.62 63.61 -4.803 -21.93 116.3 -6.864 142 72.84 86.76 -26.14 137.2 -32.06 -137.53 -351.51 191.64 -199.42 -247.26 -235.06 203.82 19.81 28.12 12.27
90	0 6.881 3.44 49.78 50 -83.33 -37.6 -55.71 128.9 -99.74 -7.021 94.13 -26.05 64.77 76.61 -30.35 42.86 129.1 -72.86 -44.12 -104.31 96.62 -134.24 229.6 -50.44 180.98 231.47 348.72 -184.37
91	0 26.38 16.24 11.27 60 -112.9 -26.76 -63.42 146.6 -84.57 5.988 98.76 -39.87 45.73 95.78 -10.87 -20.18 111.7 -67.14 -169.38 165.95 -115.22 -265.76 -261.1 117.62 -78.52 -267.47 -33.3 -198.89
92	0 -6.881 -0.3916 10.79 180 -34.88 42.59 -1.678 101.8 35.05 -175.2 159.7 122.8 -4.002 116.9 28.08 -234.2 -35.03 61.99 125.64 251.97 -113.87 -4.19 179.03 257.78 -302.99 23.19 -202.71 -83.93
93	0 9.748 4.874 -18.63 150 -12.5 62.1 -24.83 88.77 -6.016 -99.88 15.45 246.6 17.16 -48.01 -84.88 -87.45 -42.37 154.3 138.05 278.63 351.05 41.6 -262.03 27.94 -220.69 85.7 335.7 137.12
94	0 26.38 22.33 -53.83 150 25 64.26 -17.11 3.545 99.32 -194.1 207.5 145.4 38.32 67.98 1.592 -174.9 144.7 129.8 -81.05 251.62 72.5 -171.87 219.23 -229.06 -303.03 -24.52 585.08 -197.37
95	0 15.12 7.56 -102.8 180 -11.63 77.45 52.35 -45.87 42.55 -177.2 51.07 262.2 -101.2 -33.59 22.42 -182 82.17 263.4 -280.07 -55.82 -155.03 5.98 -24.81 240.69 -130.83 -301.26 560.87 -124.39
96	0 15.12 17.98 -74.69 120 -13.51 44.79 3.121 7.853 -4.786 -143.7 37.35 144.4 -52.79 103.6 -24.66 -162.4 32.29 110.9 52.75 -271.51 18.95 277.57 -189.99 -246.85 262.05 100 165.42 17.07
97	0 -3.024 3.696 24.55 210 -54.35 48.42 23.63 26.38 -22 -200.4 -121.7 224.2 -20.53 -52.2 79.44 -201.2 -154 211 79.2 189.83 178.7 NA -265.33 184.82 160.6 -61.02 264.6 231.27
98	0 -18.15 -19.49 38.03 130 -26.32 -81.03 7.224 -6.967 3.103 -109.4 101 98.65 -45.46 -92.01 -57.82 -147.1 129.7 98.55 -301.11 -313.68 250.73 -193.09 163.68 -26.23 231.87 201.78 616.37 210.28
99	0 23.92 15.25 -11.5 40 -103.4 -2.051 -47.55 84.11 -59.29 17.47 98.42 -57.31 27.8 137.4 -42.8 49.37 127.5 -71.19 -272.95 -189.87 -201.72 -114.41 -85.64 77.83 -321.31 -19.48 389.14 101.72
100	0 -18.52 -15.84 -29.12 200 0 172 12.69 -12.7 70.62 -159.9 14.39 291.1 -6.233 -50.6 48.78 -99.08 106.1 203 15.23 71.21 30.77 300.39 273.55 326.26 -68.02 -127.33 0.77 -149.4
101	0 -12.35 -12.75 19.65 140 12.82 28.35 -19.75 -14.44 15.2 -146.2 11.97 177.8 -48.77 30.49 -130.5 -144.3 -31.09 139.8 67.14 -306.35 182.87 325.56 -182.41 -48.18 -262.44 190.28 -47.55 -167.77
102	0 -4.63 -2.315 -80.24 160 12.2 120.6 3.425 -18.5 57.07 -231 86.33 180.5 -3.681 82.18 -120.7 -184.1 134.4 186.6 -294.99 -211.1 185.83 -197.08 316.14 -102.45 35.2 -214.85 70.91 95.77
103	0 7.042 7.309 74.05 60 -112.9 -35.61 -48.44 221.5 -93.19 -44.47 125 3.233 98.8 123.6 2.371 -30.31 108.1 -43.17 -82.41 85.46 257.47 -177.68 -140.43 -144.47 -191.92 -255.72 -204.23 106.44
104	0 -5.634 12.33 -55.84 190 -22.73 7.095 -28.18 79.47 -23.03 -159.9 107.2 170.1 119.2 -80.5 -78.88 -109.8 66.01 179.9 208.31 -349.61 -64.59 -291.36 -321.38 194.87 111.49 107.39 5.81 -10.7
105	0 16.2 19.46 48.28 140 -38.46 3.028 -33.24 124.9 -71.91 -126 40.18 173.8 13.09 22.83 0.8668 -145.9 NA 188.1 -290.76 224.88 -299.8 -41.73 -223.64 51.61 143.22 -81.81 544.26 -141.02
106	0 5.634 10.39 -7.6 180 23.26 45.73 -12.99 -82.84 70.78 -102.8 17.28 240.7 43.09 -63.5 -21.7 -120.3 -4.414 142.4 41.53 -240.87 297.94 -65.17 110.47 330.05 -103.1 200.54 263.62 119.39
107	0 14.08 10.83 74.49 80 -90.91 -15.27 -53.5 82.8 -111.3 -19.6 92.78 39.48 69.88 49 -17.94 -35.17 38.57 62.88 -101.49 -131.56 403.03 99.62 -225.02 171.22 -318.68 -42.07 278.97 -46.83
108	0 1.408 4.492 -75.39 150 62.5 58.95 12.33 -115.7 115.7 -194.9 -17.5 260.1 94.52 -17.72 -23.96 -143.8 98.03 120.5 278.65 -148.21 -69.69 -128.26 233.47 -95.38 192.51 -4.48 170.52 -95.66
109	0 -1.08 2.585 -70.37 160 -36.59 10.75 -16.61 104.3 -53.14 -148.7 125.8 135 80.05 5.177 -24.05 -159.1 114.3 127.4 226.44 201.73 17.7 203.57 -30.25 132.36 -66.42 163.5 18.64 153.68
110	0 -20.52 -13.38 -24.73 250 -10 -18.61 -31.86 -38.05 50.08 -152.5 -80.59 235.9 -39.37 -37.61 -70.7 -155.5 -135.3 66.98 -165.22 -49.03 -249.43 -176.12 137.92 -114.96 93.76 -26.68 479.03 -183.2
111	0 29.7 27.35 34.69 70 -62.5 -30.75 -77.62 55.62 40.43 3.37 52.25 13.25 24.23 112.1 10.44 37.71 88.98 -21.18 -266.07 -323.72 -263.01 -79.02 2.6 230.93 -230.52 -322.74 581.07 188.26
